30.12.2023;"12:04";"12:05";"01.12.2023"
30.11.2023;"18:03";"18:03";"01.11.2023"
31.10.2023;"18:03";"18:04";"01.10.2023"
30.09.2023;"12:01";"12:02";"01.09.2023"
31.08.2023;"18:06";"18:07";"01.08.2023"
31.07.2023;"18:06";"18:07";"01.07.2023"
30.06.2023;"18:02";"18:03";"01.06.2023"
31.05.2023;"18:07";"18:08";"01.05.2023"
29.04.2023;"12:03";"12:03";"01.04.2023"
31.03.2023;"18:02";"18:03";"01.03.2023"
28.02.2023;"18:02";"18:02";"01.02.2023"
31.01.2023;"18:14";"18:15";"01.01.2023"
30.12.2022;"18:32";"18:33";"01.12.2022"
30.11.2022;"18:04";"18:05";"01.11.2022"
31.10.2022;"18:05";"18:07";"01.10.2022"
30.09.2022;"18:03";"18:04";"01.09.2022"
31.08.2022;"18:04";"18:05";"01.08.2022"
30.07.2022;"12:03";"12:04";"01.07.2022"
30.06.2022;"18:27";"18:28";"01.06.2022"
31.05.2022;"18:09";"18:10";"01.05.2022"
30.04.2022;"12:02";"12:02";"01.04.2022"
31.03.2022;"18:14";"18:15";"01.03.2022"
28.02.2022;"18:02";"18:04";"01.02.2022"
31.01.2022;"18:02";"18:04";"01.01.2022"
31.12.2021;"14:41";"14:43";"01.12.2021"
30.11.2021;"18:04";"18:07";"01.11.2021"
30.10.2021;"12:02";"12:04";"01.10.2021"
30.09.2021;"18:04";"18:06";"01.09.2021"
31.08.2021;"18:12";"18:14";"01.08.2021"
31.07.2021;"12:02";"12:05";"01.07.2021"
30.06.2021;"18:10";"18:13";"01.06.2021"
31.05.2021;"18:03";"18:05";"01.05.2021"
30.04.2021;"15:35";"15:37";"01.04.2021"
31.03.2021;"15:38";"15:40";"01.03.2021"
26.02.2021;"15:36";"15:38";"01.02.2021"
29.01.2021;"15:32";"15:34";"01.01.2021"
31.12.2020;"09:37";"09:39";"01.12.2020"
30.11.2020;"15:59";"16:01";"01.11.2020"
30.10.2020;"15:45";"15:47";"01.10.2020"
30.09.2020;"19:09";"19:11";"01.09.2020"
31.08.2020;"19:07";"19:09";"01.08.2020"
31.07.2020;"19:04";"19:06";"01.07.2020"
30.06.2020;"19:03";"19:05";"01.06.2020"
30.05.2020;"14:03";"14:04";"01.05.2020"
30.04.2020;"19:03";"19:06";"01.04.2020"
31.03.2020;"15:33";"15:36";"01.03.2020"
29.02.2020;"14:04";"14:07";"01.02.2020"
31.01.2020;"19:12";"19:15";"01.01.2020"
31.12.2019;"09:37";"09:41";"01.12.2019"
30.11.2019;"14:20";"14:23";"01.11.2019"
01.11.2019;"08:07";"08:10";"01.10.2019"
01.10.2019;"08:51";"08:54";"01.09.2019"
31.08.2019;"14:00";"14:03";"01.08.2019"
01.08.2019;"08:46";"08:48";"01.07.2019"
29.06.2019;"14:44";"14:47";"01.06.2019"
03.06.2019;"10:49";"10:55";"01.05.2019"
30.04.2019;"19:04";"19:07";"01.04.2019"
30.03.2019;"17:08";"17:12";"01.03.2019"
28.02.2019;"19:04";"19:07";"01.02.2019"
31.01.2019;"19:01";"19:05";"01.01.2019"
30.12.2018;"16:30";"16:33";"01.12.2018"
01.12.2018;"14:34";"14:39";"01.11.2018"
01.11.2018;"10:06";"10:08";"01.10.2018"
30.09.2018;"10:46";"10:49";"01.09.2018"
01.09.2018;"14:13";"14:17";"01.08.2018"
31.07.2018;"19:22";"19:25";"01.07.2018"
01.07.2018;"10:53";"10:56";"01.06.2018"
31.05.2018;"19:08";"19:12";"01.05.2018"
01.05.2018;"10:59";"11:02";"01.04.2018"
31.03.2018;"13:30";"13:38";"01.03.2018"
01.03.2018;"07:00";"07:08";"01.02.2018"
31.01.2018;"19:19";"19:22";"01.01.2018"
02.01.2018;"07:53";"07:56";"01.12.2017"
30.11.2017;"19:06";"19:09";"01.11.2017"
31.10.2017;"19:53";"19:57";"01.10.2017"
01.10.2017;"11:18";"11:22";"01.09.2017"
31.08.2017;"19:19";"19:21";"01.08.2017"
31.07.2017;"20:03";"20:06";"01.07.2017"
30.06.2017;"19:40";"19:43";"01.06.2017"
31.05.2017;"19:25";"19:27";"01.05.2017"
29.04.2017;"14:01";"14:03";"01.04.2017"
31.03.2017;"19:04";"19:07";"01.03.2017"
28.02.2017;"19:06";"19:08";"01.02.2017"
31.01.2017;"19:05";"19:08";"01.01.2017"
30.12.2016;"15:13";"15:15";"01.12.2016"
30.11.2016;"18:59";"19:01";"01.11.2016"
31.10.2016;"19:03";"19:05";"01.10.2016"
30.09.2016;"19:02";"19:04";"01.09.2016"
31.08.2016;"19:16";"19:18";"01.08.2016"
30.07.2016;"14:01";"14:03";"01.07.2016"
30.06.2016;"19:01";"19:03";"01.06.2016"
31.05.2016;"20:32";"20:34";"01.05.2016"
02.05.2016;"13:13";"13:15";"01.04.2016"
31.03.2016;"19:04";"19:06";"01.03.2016"
29.02.2016;"19:07";"19:09";"01.02.2016"
30.01.2016;"14:02";"14:03";"01.01.2016"
31.12.2015;"10:44";"10:46";"01.12.2015"
30.11.2015;"20:09";"20:11";"01.11.2015"
31.10.2015;"14:32";"14:34";"01.10.2015"
30.09.2015;"19:02";"19:05";"01.09.2015"
31.08.2015;"19:06";"19:08";"01.08.2015"
31.07.2015;"19:10";"19:12";"01.07.2015"
30.06.2015;"19:03";"19:05";"01.06.2015"
30.05.2015;"14:18";"14:19";"01.05.2015"
30.04.2015;"19:01";"19:03";"01.04.2015"
31.03.2015;"19:34";"19:36";"01.03.2015"
28.02.2015;"14:05";"14:09";"01.02.2015"
31.01.2015;"14:01";"14:03";"01.01.2015"
30.12.2014;"15:25";"15:26";"01.12.2014"
29.11.2014;"14:06";"14:07";"01.11.2014"
31.10.2014;"19:01";"19:02";"01.10.2014"
30.09.2014;"19:01";"19:02";"01.09.2014"
30.08.2014;"14:03";"14:05";"01.08.2014"
31.07.2014;"19:03";"19:04";"01.07.2014"
30.06.2014;"19:09";"19:10";"01.06.2014"
31.05.2014;"14:03";"14:04";"01.05.2014"
30.04.2014;"19:07";"19:08";"01.04.2014"
31.03.2014;"19:11";"19:12";"01.03.2014"
28.02.2014;"19:03";"19:05";"01.02.2014"
31.01.2014;"19:02";"19:03";"01.01.2014"
31.12.2013;"10:58";"10:59";"01.12.2013"
30.11.2013;"14:06";"14:08";"01.11.2013"
31.10.2013;"19:02";"19:03";"01.10.2013"
30.09.2013;"19:43";"19:44";"01.09.2013"
31.08.2013;"14:03";"14:05";"01.08.2013"
